名前,カテゴリ,ファイル&メディア,メモ,公式リンク,場所,最終更新日時,計算用データ：終了,計算用データ：開始,計算用データ：開始曜日,開催期間
映画：スタッフトークイベント,映画,,"・上映時間19:15の回上映終了後
・出演(敬称略)
 - 酒井和男(監督)
 - 手島nari(キャラクターデザイン)
 - 平山理志(プロデューサー)",https://x.com/girlsbandcry/status/1996897348950380826?s=20,T・ジョイ SEIBU大泉,2025年12月8日 7:04,-2640,-2664,金,2025年12月12日
映画：スタッフトークイベント,映画,,"・上映時間11:00の回上映終了後
・出演(敬称略)
 - 酒井和男(監督)
 - 手島nari(キャラクターデザイン)
 - 平山理志(プロデューサー)",https://x.com/girlsbandcry/status/1996897348950380826?s=20,チネチッタ,2025年12月8日 7:04,-2592,-2616,,2025年12月14日
申込：Zepp Tour 2026 3次先行,申込,,"・当落発表：2025年12月16日13:00～
・【対象公演】
• 2/11(水・祝) 18:00 神奈川・KT Zepp Yokohama
• 2/14(土) 17:00 福岡・Zepp Fukuoka
• 2/23(月・祝) 17:00 愛知・Zepp Nagoya
• 2/28(土) 17:00 北海道・Zepp Sapporo
• 3/8(日) 17:00 大阪・Zepp Osaka Bayside
• 3/13(金) 19:00 東京・Zepp DiverCity(TOKYO)
• 3/14(土) 17:00 東京・Zepp DiverCity(TOKYO)
※全公演共通：
グッズ付き1階スタンディング 14,400円 / 1階スタンディング 9,900円（税込）
",https://girls-band-cry.com/live/post-18.html,オンライン,2025年12月9日 0:52,-2664,-2918,月,2025年12月1日 10:00 (GMT+9) → 2025年12月10日 23:59 (GMT+9)
当落発表：Zepp Tour 2026 3次先行,当落発表,,"・当落発表：2025年12月16日13:00～
・【対象公演】
• 2/11(水・祝) 18:00 神奈川・KT Zepp Yokohama
• 2/14(土) 17:00 福岡・Zepp Fukuoka
• 2/23(月・祝) 17:00 愛知・Zepp Nagoya
• 2/28(土) 17:00 北海道・Zepp Sapporo
• 3/8(日) 17:00 大阪・Zepp Osaka Bayside
• 3/13(金) 19:00 東京・Zepp DiverCity(TOKYO)
• 3/14(土) 17:00 東京・Zepp DiverCity(TOKYO)
※全公演共通：
グッズ付き1階スタンディング 14,400円 / 1階スタンディング 9,900円（税込）
",https://girls-band-cry.com/live/post-18.html,オンライン,2025年12月9日 0:56,-2531,-2555,火,2025年12月16日 13:00 (GMT+9)
物販：OK COFFEE,物販,,・珈琲やバウムクーヘン、コースターなど,https://okcoffeeroastery.com/collections/gbc_togetoge,オンライン,2025年12月9日 1:19,-2424,-2760,月,2025年12月8日 → 2025年12月21日
物販：JR東海事後通販,物販,,,https://www.chugai-contents.jp/shopbrand/ct366,オンライン,2025年12月9日 1:29,-2304,-2700,水,2025年12月10日 12:00 (GMT+9) → 2025年12月25日 23:59 (GMT+9)
プライズ：セガプライズ フィギュア(仁菜/桃香),プライズ,,"●終了日未定
・井芹仁菜、河原木桃香(12/12～)
・安和すばる(12/19～)",https://segaplaza.jp/search/?q=%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%82%AF%E3%83%A9%E3%82%A4&type=prize&searchtype=title,全国,2026年1月9日 23:50,-1968,-2664,金,2025年12月12日 → 2026年1月9日
プライズ：セガプライズ フィギュア(すばる),プライズ,,"●終了日未定
・井芹仁菜、河原木桃香(12/12～)
・安和すばる(12/19～)",https://segaplaza.jp/search/?q=%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%82%AF%E3%83%A9%E3%82%A4&type=prize&searchtype=title,全国,2026年1月9日 23:50,-1968,-2496,金,2025年12月19日 → 2026年1月9日
ポップアップストア：HMV事後通販,ポップアップストア,,・販売場所：MEDICOS ONLINE SHOP,https://www.medicos-e.net/newsdetail/girlsbandcry_hmv/,オンライン,2025年12月12日 23:22,-2040,-2568,火,2025年12月16日 → 2026年1月6日
映画：劇場版総集編後半(第五週特典),映画,,"●終了日未定
・第四週特典：クリアカード(6種ランダム)
・マナー講座(河原木桃香&海老塚智)",https://girls-band-cry.com/cinema/novelty/,全国,2025年12月26日 3:20,-2328,-2664,金,2025年12月12日 → 2025年12月25日
スタンプラリー：新スタンプ/缶バッジ,スタンプラリー,,"●終了日未定
・【KAWASAKI SPOT】
No.15　都町歩道橋 × ルパ
川崎アゼリアのガルクラスタンプギャラリーにて12月14日(日)より設置スタート!  ",https://x.com/mirai_things/status/2000038157073736034?s=20,川崎,2026年1月5日 21:36,-2088,-2616,,2025年12月14日 → 2026年1月4日
物販：機材メディア「STAGE」,物販,,"●終了日未定
「LIVE in 日本武道館 “https://x.com/hashtag/%E5%A5%8F%E6%AA%84%E3%81%AE%E5%8F%AB?src=hashtag_click”」
ライブレポ＆機材紹介を掲載
・【冊子版】
12/20(土)より全国楽器店にて順次発売(https://t.co/sK7etxdwtm)
・【WEB版】
https://t.co/Y0CSvuNZb4",https://x.com/girlsbandcry/status/1999403866979197206?s=20,"三重, 京都, 佐賀, 兵庫, 北海道, 千葉, 和歌山, 埼玉, 大阪, 奈良, 宮城, 宮崎, 山形, 山梨, 岐阜, 岡山, 岩手, 広島, 愛媛, 愛知, 新潟, 東京, 栃木, 沖縄, 熊本, 石川, 神奈川, 福岡, 福島, 群馬, 茨城, 長崎, 長野, 静岡, 香川, 鹿児島",2026年1月9日 23:50,-1968,-2472,土,2025年12月20日 → 2026年1月9日
ポップアップストア：劇場版総集編前編事後通販,ポップアップストア,,"・2025年9月27日(土)より新宿マルイアネックス・名古屋セントラルパーク・海老名マルイにて順次販売した、 『劇場版総集編 ガールズバンドクライ【前編】青春狂走曲』公開記念POP-UP STORE商品の事後通販
・ご予約はこちらからhttps://t.co/ZMUpIh0BPq
受付期間：2025/12/15(月)13:00～2026/01/10(土)23:59
お届け時期：2026年4月予定",https://x.com/toeianime_shop/status/2000424686434619594?s=20,オンライン,2025年12月15日 22:58,-1920,-2579,月,2025年12月15日 13:00 (GMT+9) → 2026年1月10日 23:59 (GMT+9)
映画：1st ONE-MAN LIVE “薄明の序奏”<通常上映>,映画,,"・一律2,500円",https://cinecitta.co.jp/movies/detail/14107,チネチッタ,2025年12月17日 2:13,-2170,-2195,水,2025年12月31日 12:50 (GMT+9) → 14:35
映画：劇場版総集編【前編】<通常上映>,映画,,・通常料金＋300円,https://cinecitta.co.jp/movies/detail/13705,チネチッタ,2025年12月17日 2:16,-2095,-2121,土,2026年1月3日 15:30 (GMT+9) → 17:30
映画：劇場版総集編【後編】<通常上映>,映画,,・通常料金＋300円,https://cinecitta.co.jp/movies/detail/13810,チネチッタ,2025年12月17日 2:16,-2092,-2118,土,2026年1月3日 18:15 (GMT+9) → 20:15
映画：1st ONE-MAN LIVE “薄明の序奏”<応援上映>,映画,,"・一律2,500円
・ハードコア音響",https://cinecitta.co.jp/movies/detail/14107,チネチッタ,2025年12月17日 2:18,-2090,-2115,土,2026年1月3日 20:55 (GMT+9) → 22:40
コラボ：缶バッジ/手ぬぐいwith矢向湯,コラボ,,"●終了日未定
①新川崎（仮）缶バッジがスタンプギャラリーで再販
→1/24(土)から再販
②コラボグッズ「手拭い」販売",https://x.com/yakouyu/status/2001230898289668308?s=20,"GIRLS BAND CRY STAMP GALLERY, 矢向湯",2026年1月30日 6:36,-1512,-2472,土,2025年12月20日 → 2026年1月28日
当落発表：CDJリセール,当落発表,,,https://countdownjapan.jp/2526/ticket/resale/applyticket/,オンライン,2025年12月17日 22:44,-2480,-2504,木,2025年12月18日 16:00 (GMT+9)
物販：ガルクラ展グッズ,物販,,"●終了日未定
【ラインナップ】
オーロラアクリルスタンド
トレーディングアクリルマドラー
トレーディング場面写アクリルマグネット
トレーディングステッカー
トレーディングホログラム缶バッジ
トレーディング台詞ラバーコースター
トレーディングクリアカード
トレーディングアクリルブロック
仁菜のトゲトゲふきだしメモ
ボディペイントシール
ネックストラップ
クリアファイル2枚セット 各種
温感マグカップ
トゲナシトゲアリウォーター
トートバッグ
マルチハードケース
ビッグタオル
ダイカットクッション
プレミアムライブビジュアルポスター　各種
ボイスキーホルダー",https://x.com/mirai_things/status/2001940570022072633?s=20,GIRLS BAND CRY STAMP GALLERY,2026年1月25日 1:38,-1608,-2472,土,2025年12月20日 → 2026年1月24日
ラジオ：第十二回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年12月22日 1:23,-2352,-2377,火,2025年12月23日 23:30 (GMT+9) → 23:59
ラジオ：第十三回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年12月22日 1:23,-2184,-2209,火,2025年12月30日 23:30 (GMT+9) → 23:59
ラジオ：第十四回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年12月22日 1:24,-2016,-2041,火,2026年1月6日 23:30 (GMT+9) → 23:59
物販：RAISE MY CATHARSIS事後通販,物販,,"・先行販売は売り切れ次第終了
・完売していた一部通販在庫が復活",https://x.com/girlsbandcry/status/2001925469575278621?s=20,オンライン,2025年12月23日 2:58,-1728,-2385,火,2025年12月23日 15:00 (GMT+9) → 2026年1月18日 23:59 (GMT+9)
物販：チェスver.,物販,,"・発売/発送は2026年2月下旬ごろ
【対象商品】
・ブロマイド
・タペストリー
・クリアファイル
・アクスタ
・アクリルカード
・缶バッジ
・アクキー",https://x.com/teambellhouse/status/2002941427492557076?s=20,"アニメイト, ベルハウス",2025年12月23日 3:05,-1800,-2412,月,2025年12月22日 12:00 (GMT+9) → 2026年1月15日 23:59 (GMT+9)
物販：福袋 PARCO,物販,,"⚫︎終了日未定
【内容】5,500円(税込)
・缶バッジ
・ジオラマアクスタ
・Tシャツ
・トートバッグ",https://x.com/anibirth_/status/2004477296942710809?s=46&t=7tOCt_N6yLkanz4aShAUng,"心斎橋PARCO, 池袋PARCO",2026年2月1日 4:52,-1440,-2160,金,2026年1月2日 → 2026年1月31日
スタンプラリー：新スタンプ/缶バッジ,スタンプラリー,,"●終了日未定
・【KAWASAKI SPOT】
No.16　東扇島東公園 × 安和すばる
川崎アゼリアのガルクラスタンプギャラリーにて1月5日(月)より設置スタート!  

・1/11(日)～　スタンプイラストを使用したマフラータオルを販売",https://x.com/mirai_things/status/2000038157073736034?s=20,川崎,2026年1月25日 1:39,-1608,-2088,月,2026年1月5日 → 2026年1月24日
ポップアップストア：未来屋書店,ポップアップストア,,"実施内容：
・描き下ろし＆描き起こし商品POP-UP STORE
・等身大パネルの展示
・爆ぜて咲くver./お菓子作りver./平成ギャルver.など

特典：
・税込2,000円以上ご購入で、本POP-UP STORE限定の名刺サイズカード（全１種）をお渡しいたします。※無くなり次第終了",https://x.com/girlsbandcry_gc/status/2005828296592781665?s=46&t=7tOCt_N6yLkanz4aShAUng,"与野, 仙台上杉, 板橋, 浜松市野, 甲府昭和, 須坂",2026年1月2日 7:50,-1176,-1992,金,2026年1月9日 → 2026年2月11日
ポップアップストア：和装デニム,ポップアップストア,,"オンラインショップあり：https://tree-village.jp/news/014442.html
＜購入特典＞2,200円ごとにミニブロマイド(5種)をランダムプレゼント

＜商品一覧＞
・【TD】グリッター缶バッジ(5種)
・スクエアキーホルダー(5種)
・アクリルスタンド(5種)
・ダイカットステッカー(5種)
・BIGアクリルスタンド
・キャンバスボード
・クリアファイル
・【TD】アクリルカード(10種)
・【TD】ミニ色紙(8種)
・オーロラアクリルブロック(3種)
・BIG箔押し缶バッジ(5種)
・ミニCDキーホルダー(5種)
・WスエートB2タペストリー
・バンダナ
・ショッピングバッグ",https://tree-village.jp/news/014442.html,"オンライン, ツリービレッジ東京",2026年3月10日 1:15,-384,-816,金,2026年2月27日 → 2026年3月16日
物販：JR東海事後通販(一般予約),物販,,"・12月に実施されていた事前予約の一般予約
・4月以降順次発送
——
上記の開催期間や発送時期などは別で、
JR東海コラボ中に現地限定で販売していた、玉乃光よりコラボ商品であるコラボパッケージの酒粕フィナンシェが数量限定で再販中
【販売URL】
https://ec.tamanohikari.co.jp/products/2025-financier5",https://x.com/chugaionline/status/2009460369203536335?s=20,オンライン,2026年1月15日 0:53,-1464,-1992,金,2026年1月9日 0:00 (GMT+9) → 2026年1月29日 23:59 (GMT+9)
物販：AniBirth,物販,,"【新商品】
・お座りアクリルスタンド
・お座り缶バッジ
・仁菜リュックポーチ",https://x.com/AniBirth_/status/2009550724326191470?s=20,"AniBirth心斎橋, AniBirth池袋",2026年2月14日 7:35,-1128,-1824,金,2026年1月16日 → 2026年2月13日
物販：アニメイトフェア,物販,,"●終了日未定
【発売日】
2026/03/27発売(現在予約受付中)

【商品】
・ライトピクチャーパネル
・ステンレスボトル
・ZIPPOライター(通販限定)
以下、ダイダス/トゲトゲそれぞれの展開商品
・フルグラTシャツ
・アクスタ
・BIGアクリルスタンド
・B2タペストリー
・応援ミニうちわ
・クリアファイル
・ステッカー
・トレーディングアクキー
・トレーディングBIG缶バッジ
・トレーディングクリアポスター
・トレーディングチェキ風カード
・等身大パネル(通販限定)",https://www.animate-onlineshop.jp/corner/cc/girls-band-cry-0109goods/cd/4060/,アニメイト,2026年2月9日 7:29,-1248,-1992,金,2026年1月9日 → 2026年2月8日
ラジオ：第十五回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年1月12日 2:49,-1848,-1873,火,2026年1月13日 23:30 (GMT+9) → 23:59
ラジオ：第十六回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年1月12日 3:18,-1680,-1705,火,2026年1月20日 23:30 (GMT+9) → 23:59
ラジオ：第十七回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年1月12日 3:19,-1512,-1537,火,2026年1月27日 23:30 (GMT+9) → 23:59
ラジオ：第十八回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年1月12日 3:19,-1344,-1369,火,2026年2月3日 23:30 (GMT+9) → 23:59
配信：アーカイブ配信 RAISE MY CATHARSIS,配信,,"【販売期間】
1/29(木)19:00～2/12(木)21:00
※視聴は2/12(木)23:59まで
【料金】
グッズ付き：9,900円(税込)
一般：4,400円(税込)
【グッズ】
RAISE A SUILEN×トゲナシトゲアリ 特製コラボスウェットシャツ
【販売情報】
URL：https://eplus.jp/ras-togetoge/st-a/",https://x.com/girlsbandcry/status/2011793116295283191?s=20,オンライン,2026年1月16日 3:36,-1131,-1493,木,2026年1月29日 19:00 (GMT+9) → 2026年2月12日 21:00 (GMT+9)
プライズ：セガプライズ フィギュア(智/ルパ),プライズ,,"●終了日未定
・智、ルパ(1/23～)
・セガプラザの取扱店舗は島根県、徳島県を除く全国",https://segaplaza.jp/search/?q=%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%82%AF%E3%83%A9%E3%82%A4&type=prize&searchtype=title,全国,2026年2月21日 1:32,-960,-1656,金,2026年1月23日 → 2026年2月20日
プライズ：不登校Tシャツver. 井芹仁菜,プライズ,,"●終了日未定
・ガールズバンドクライ　Coreful フィギュア　井芹仁菜～不登校Tシャツver.～
・サイズ：約18cm 種類：全1種
※店舗によっては入荷のタイミングが前後する可能性があります",https://x.com/Taito_Toys/status/1993962451914911768?s=20,"オンライン, 兵庫, 千葉, 埼玉, 大阪, 東京, 栃木, 神奈川, 福岡",2026年2月21日 1:33,-960,-1632,土,2026年1月24日 → 2026年2月20日
コラボ：アゼリア,コラボ,https://pbs.twimg.com/media/G_K4W-aWMAAJPf-?format=jpg&name=4096x4096,"●終了日未定
【商品内容】
①マルシェバッグ(桃香さんプリント絵)
②アクリルジオラマ(5人集合)

※
①はスタンプイラストのデザイン
②はレシートキャンペーンのイラストが復活",https://x.com/mirai_things/status/2013899374758179054?s=20,GIRLS BAND CRY STAMP GALLERY,2026年1月22日 1:22,-768,-1632,土,2026年1月24日 → 2026年2月28日
コラボ：and GALLERY Cafe,コラボ,,"【予約開始】
1/23(金) 18:00～
【開催期間】FOOD/DRINKコラボ
(前半)2/4(水)～2/23(月)
(後半)2/24(火)～3/15(日)
【コラボグッズ】
(トレーディングの略【TD】を記載)
・BIGアクリルスタンド
・【TD】ミニアクリルスタンド(5種)
・クリアファイル
・【TD】缶バッジ(10種)
以下後半2/24(火)～3/15(日)
・アクリルスタンド 私服ver.(5種)
・【TD】CDJ風アクリルコースター(10種)
・【TD】クリアカードA(10種)
・【TD】クリアカードB(10種)
【ノベルティ】
ポストカード/ペーパーコースター/スタッフパス風ステッカー/チケット風アクリルカード
【タイムテーブル】
①11:00-12:10 (L.O 11:40)
②12:30-13:40 (L.O 13:10)
③14:00-15:10 (L.O 14:40)
④16:00-17:10 (L.O 16:40)
⑤17:30-18:40 (L.O 18:10)
⑥19:00-20:10 (L.O 19:40) 
",https://x.com/andgallery_info/status/2014268758748250403?s=20,"名古屋, 池袋, 福岡, 道頓堀",2026年2月18日 7:50,-408,-1368,水,2026年2月4日 → 2026年3月15日
配信：ゲスト出演@バンドリ！TV LIVE 2026#299,配信,,"【出演者】
三澤紗千香さん（青葉モカ 役）
倉知玲鳳さん（パレオ 役）
紡木吏佐さん（チュチュ 役）
理名さん（井芹仁菜 役）
⼣莉さん（河原木桃香 役）
朱李さん（ルパ 役）
【配信時刻】
1/29(木) 22:00～
下記YouTube Liveで生配信
https://t.co/Ca7EqTT5VQ",https://x.com/bang_dream_info/status/2014336677624578535?s=20,オンライン,2026年1月23日 1:05,-1466,-1490,木,2026年1月29日 22:00 (GMT+9)
配信：WEBマガジン更新(第一回),配信,,"『ガールズバンドクライ』コミカライズ企画
WEBマガジン「コミックライド 」にて毎週金曜日更新予定
https://t.co/22IknQ5M4X
記念すべき連載開始は、2026年1月30日(金)です
第一回は、第一話と第二話①が更新対象です。

原作：東映アニメーション (https://x.com/toeianime_info?s=20)
漫画：伊勢海老ボイル (https://x.com/hasisisissy?s=20)
——
「怒りも喜びも哀しさも全部ぶちこめ。」
あの日、川崎で響いた音が―コミックとして再び幕を開ける",https://x.com/girlsbandcry/status/2014654343606423606?s=20,オンライン,2026年1月30日 7:00,-1464,-1488,金,2026年1月30日
申込：横浜/福岡 Zepp物販整理券,申込,,"【申込期間】
・横浜／福岡会場　　2026年1月30日(金)19:00~",https://girls-band-cry.com/live/post-18.html,オンライン,2026年1月24日 1:34,-1445,-1469,金,2026年1月30日 19:00 (GMT+9)
申込：名古屋/札幌 Zepp物販整理券,申込,,"【申込期間】
・名古屋／札幌会場　2026年2月9日(月)19:00~",https://girls-band-cry.com/live/post-18.html,オンライン,2026年1月24日 1:34,-1205,-1229,月,2026年2月9日 19:00 (GMT+9)
申込：大阪/東京 Zepp物販整理券,申込,,"【申込期間】
・大阪／東京会場　　2026年2月20日(金)19:00~",https://girls-band-cry.com/live/post-18.html,オンライン,2026年1月24日 1:35,-941,-965,金,2026年2月20日 19:00 (GMT+9)
ラジオ：公開収録イベント『ECHOES LIVE』,ラジオ,,"■開催概要
・イベント名：interfm 30th Anniversary 『ECHOES LIVE』 公開収録イベント
・開催日程：2026年3月21日（土）
【1部】　開場12:15／開演13:00～16:15
【2部】　開場17:15／開演18:00～21:15

■チケット情報
・料金：各部5,500円（税込・全席指定）※入場時別途ドリンク代
・チケットスケジュール：
①オフィシャル1次先行抽選　1月27日（火）18:00～2月2日（月）23:59
②トゲラジメンバーシップSP会員先行抽選　1月27日（火）18:00～2月2日（月）23:59
③オフィシャル2次先行抽選　2月6日（金）18:00～2月16日（月）23:59
④トゲラジメンバーシップSP＋通常会員先行抽選　2月6日（金）18:00～2月16日（月）23:59
⑤オフィシャル 一般先着　2月24日（火）18:00～
※②④はメンバーシップ優先座席エリアを設置",https://x.com/InterFM897/status/2016073701339639921?s=20,恵比寿 ザ・ガーデンホール,2026年1月31日 6:16,-264,-288,土,2026年3月21日
"ライブ：Live in SEOUL ""凛音の理”",ライブ,,"初の韓国ワンマンライブ
Live in SEOUL ""凛音の理""

開催日／2026.4.18（土）
会場／YES24 LIVE HALL

🎫チケット詳細は２月上旬発表！
🔗 http://to.livet.one/TOGETOGE26
*リンクは後日有効になります。",https://x.com/girlsbandcry/status/2016466292891602945?s=20,ソウル,2026年1月30日 6:18,407,383,土,2026年4月18日
その他：桃ワショ移植PJ/クラウドファンディング,その他,,"2/9 21:37に達成！引き続き受付中
『桃香（を）ワッショイ』のSwitch版移植を目指すクラウドファンディング(All-In方式)
●2/10更新)下記①をシリアルナンバー付きの実物にアップデート

【リターン】
①デジタル支援証明書
②ゲーム内クレジット(小)
③ゲーム内クレジット(大)
④『桃ワショ』ロゴTシャツ
⑤桃ワショ像レプリカ
<嘘つき:¥1,000>①
<ツンデレ¥3,000>①②
<酒豪¥10,000>①②④
<不登校¥30,000>①③④
<脱退¥100,000>①③④⑤  【完売】
※脱退のみ数量限定
【法人様向け】
企業クレジット（小）コース：¥200,000
企業クレジット（大）コース：¥500,000

【スケジュール】
◆プロジェクト終了後(26年3月31日)～移植開発開始
◆2026年内Nintendo Switch DL版 配信開始予定
※開発状況等によっては変更される場合ががございます。",https://x.com/girlsbandcry/status/2016708155586343407?s=20,オンライン,2026年2月11日 1:42,-24,-1248,月,2026年2月9日 → 2026年3月31日
コラボ：缶バッジ・スタンプ/スタンプ帳ケース,コラボ,,"●終了日未定
①「ネックストラップ付きスタンプ帳ケース」発売(¥1870円)
②缶バッジ＜KAWASAKI SPOT＞
No.17 南河原公園×河原木桃香
※缶バッジ/スタンプはスタンプギャラリー展",https://x.com/yakouyu/status/2001230898289668308?s=20,GIRLS BAND CRY STAMP GALLERY,2026年2月5日 3:13,-1344,-1464,土,2026年1月31日 → 2026年2月4日
配信：トゲRAS同時視聴@スペース,配信,,"「RAISE MY CATHARSIS」の同時視聴
「バンドリ！公式X：https://x.com/bang_dream_info?s=20」
「ガールズバンドクライ公式X：https://x.com/girlsbandcry?s=20」
にてスペース配信

【出演】
RAISE A SUILEN
 ・夏芽さん
 ・倉知玲鳳さん
トゲナシトゲアリ
 ・理名さん
 ・夕莉さん
 ・朱李さん

【対象アーカイブチケット発売中】
https://t.co/kgBBzZb8kI",https://x.com/girlsbandcry/status/2016868934499082295?s=20,オンライン,2026年1月30日 6:50,-1372,-1396,月,2026年2月2日 20:00 (GMT+9)
コラボ：PalVerse ミニフィギュア,コラボ,,"【価格】
［PACK］1,100円(税込)
［BOX］ 6,600円(税込)
【種類数】
　全6種
【サイズ】
全高：約90mm",https://x.com/bushi_hobby_jp/status/2016707901826683335?s=20,"オンライン, 全国",2026年1月30日 6:55,-768,-1488,金,2026年1月30日 → 2026年2月28日
配信：WEBマガジン更新(第三回),配信,,"『ガールズバンドクライ』コミカライズ企画
WEBマガジン「コミックライド 」にて毎週金曜日更新予定
https://t.co/22IknQ5M4X

原作：東映アニメーション (https://x.com/toeianime_info?s=20)
漫画：伊勢海老ボイル (https://x.com/hasisisissy?s=20)
——
「怒りも喜びも哀しさも全部ぶちこめ。」
あの日、川崎で響いた音が―コミックとして再び幕を開ける",https://x.com/girlsbandcry/status/2014654343606423606?s=20,オンライン,2026年2月16日 6:20,-1128,-1152,金,2026年2月13日
配信：WEBマガジン更新(第二回),配信,,"『ガールズバンドクライ』コミカライズ企画
WEBマガジン「コミックライド 」にて毎週金曜日更新予定
https://t.co/22IknQ5M4X

原作：東映アニメーション (https://x.com/toeianime_info?s=20)
漫画：伊勢海老ボイル (https://x.com/hasisisissy?s=20)
——
「怒りも喜びも哀しさも全部ぶちこめ。」
あの日、川崎で響いた音が―コミックとして再び幕を開ける",https://x.com/girlsbandcry/status/2014654343606423606?s=20,オンライン,2026年2月16日 6:20,-1296,-1320,金,2026年2月6日
PUS：サンリオコラボ,ポップアップストア,,"イトーヨーカドー8店舗でPOP UP SHOP開催！

＜購入特典＞2,200円ごとにミニブロマイド(11種)をランダムプレゼント

＜商品一覧＞
・【TD】ビッグ型缶バッジ(5種)
・キャラクリアケース(2種)
・【TD】おなまえアクリルプレートバッジ(9種)
・A4静電気ポスター(2枚セット)
・アクリルスタンド(9種)
・【TD】ビッグ型缶バッジ(9種)
・キャラクリアケース
・PUコンパクトミラー
・アクリルスタンドプレート(9種)",https://x.com/Lets_go_Yokado/status/2017055218337247568?s=20,"あべの店, ららぽーと横浜, アリオ亀有, アリオ北砂, アリオ蘇我, グランツリー武蔵小杉, 多摩センター, 大和鶴間",2026年2月3日 1:34,-72,-816,金,2026年2月27日 → 2026年3月29日
ラジオ：第十九回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年2月10日 2:35,-1176,-1201,火,2026年2月10日 23:30 (GMT+9) → 23:59
ラジオ：第二十回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年2月10日 2:35,-1008,-1033,火,2026年2月17日 23:30 (GMT+9) → 23:59
物販：缶バッジコレクションブック,物販,,"価格：4,950円
缶バッジを24個収納可能",https://x.com/mirai_things/status/2021132034509504720?s=20,GIRLS BAND CRY STAMP GALLERY,2026年3月11日 8:59,-480,-504,木,2026年3月12日
配信：5th 鳴動の刻 リミスタ,配信,,"【3/27(金)19:00～】
・『5th ONE-MAN LIVE ""鳴動の刻”』発売記念オンライントーク＆サイン会

【出演】
理名さん / 夕莉さん / 朱李さん

【配信】
公式YouTube生配信
※アーカイブあり

【対象商品】
「鳴動の刻」Blu-ray 8,800円 / DVD 7,700円
※発売日は3/25に変更

【特典】
・ジャケット絵柄カード
・抽選100名にサイン＋宛名＋日付入り
※記入メンバーはランダム
※1セット購入ごとに1回分付与",https://x.com/girlsbandcry/status/2021555064381550792?s=20,YouTube,2026年3月16日 4:07,-101,-125,金,2026年3月27日 19:00 (GMT+9)
申込：リミスタ特典応募期限,申込,,"【対象商品】
2026年03月11日(水)発売
2026年03月25日(水)発売
(発売延期のお知らせ：https://girls-band-cry.com/news/post-460.html)

トゲナシトゲアリ 『5th ONE-MAN LIVE ""鳴動の刻""』
①[Blu-ray] UMXK-1134 税込み8,800円（税抜き8,000円）
②[DVD] UMBK-1349 税込み7,700円（税抜き7,000円）

【特典内容】
特典：
『5th ONE-MAN LIVE ""鳴動の刻""』ジャケット絵柄を使用したカードをプレゼント！
さらに抽選で100名様には、出演メンバーがサインとあなたのニックネーム、日付も記入いたします。",https://limista.com/projects/7121,オンライン,2026年3月3日 8:06,-101,-1179,水,2026年2月11日 21:00 (GMT+9) → 2026年3月27日 19:00 (GMT+9)
ライブ：CON-CON HONG KONG 2026,ライブ,,"「CON-CON HONG KONG 2026」
Music Festival Day 1に出演決定！

📅2026年4月4日-5日
📍AsiaWorld-Expo",https://x.com/girlsbandcry/status/2021481597573493162?s=20,香港,2026年2月13日 7:25,71,47,土,2026年4月4日
